,scenario,action,beings,events,impacts
0,"My older sister (23) has a dog and forces almost every responsibility on my mother and younger sister(13). I refuse to do anything to help with the dog as me and my older sister got in a big argument before she got it as i knew she wasn’t ready to take care of a dog. But sometimes I do cave in and help out as I feel bad for the dog. The dog is untrained as after many years and daily will pee on the floors and poops inside the home, we live in a small apartment and its really awful. My older sister these past few months lives with her BF and only returns like a day or two each week. Thus leaving everything to my sister and mother. I think its really unfair for her to just abandon the dog, my mother is always complaining about it to get me or my little sister to clean after it, everyday I have to dodge stepping in piss. Also, smelling piss and seeing shit on the floor everyday is not fun. I really dislike having to see this dog being left like this, nobody really plays with it and barely takes it out for walks and it breaks my heart. She has been jobless for over a year now and I’m baffled as to why she cant train it or take care of it. I don’t think she is fit to have this dog and I think the dog would have a better life in another home, I just can't bare watching nobody care for it anymore and waking up and coming home to warm piss and shit.",refuse to take care of the dog unless my sister steps up and takes responsibility.,"older sister,dog,mother,younger sister,I,older sister's boyfriend","Your older sister may become upset or angry with you for refusing to help with the dog, leading to potential conflict and tension in the family..Your mother and younger sister may feel overwhelmed and burdened by the increased responsibility of caring for the untrained dog, leading to potential stress and strain on their relationship with your older sister and with you..The untrained dog may continue to suffer from neglect and lack of proper care, potentially leading to health and behavioral issues..Your older sister may feel pressured to either step up and take responsibility for the dog or consider rehoming it, potentially leading to a resolution of the situation..You may feel guilty or conflicted about not helping with the dog, especially if you continue to witness its neglect and suffering..The overall family dynamic may be affected by the ongoing conflict and tension surrounding the care of the dog, potentially leading to strained relationships and emotional distress for everyone involved.","Your older sister may become upset or angry with you for refusing to help with the dog, leading to potential conflict and tension in the family.,older sister,-8"
1,"My older sister (23) has a dog and forces almost every responsibility on my mother and younger sister(13). I refuse to do anything to help with the dog as me and my older sister got in a big argument before she got it as i knew she wasn’t ready to take care of a dog. But sometimes I do cave in and help out as I feel bad for the dog. The dog is untrained as after many years and daily will pee on the floors and poops inside the home, we live in a small apartment and its really awful. My older sister these past few months lives with her BF and only returns like a day or two each week. Thus leaving everything to my sister and mother. I think its really unfair for her to just abandon the dog, my mother is always complaining about it to get me or my little sister to clean after it, everyday I have to dodge stepping in piss. Also, smelling piss and seeing shit on the floor everyday is not fun. I really dislike having to see this dog being left like this, nobody really plays with it and barely takes it out for walks and it breaks my heart. She has been jobless for over a year now and I’m baffled as to why she cant train it or take care of it. I don’t think she is fit to have this dog and I think the dog would have a better life in another home, I just can't bare watching nobody care for it anymore and waking up and coming home to warm piss and shit.",refuse to take care of the dog unless my sister steps up and takes responsibility.,"older sister,dog,mother,younger sister,I,older sister's boyfriend","Your older sister may become upset or angry with you for refusing to help with the dog, leading to potential conflict and tension in the family..Your mother and younger sister may feel overwhelmed and burdened by the increased responsibility of caring for the untrained dog, leading to potential stress and strain on their relationship with your older sister and with you..The untrained dog may continue to suffer from neglect and lack of proper care, potentially leading to health and behavioral issues..Your older sister may feel pressured to either step up and take responsibility for the dog or consider rehoming it, potentially leading to a resolution of the situation..You may feel guilty or conflicted about not helping with the dog, especially if you continue to witness its neglect and suffering..The overall family dynamic may be affected by the ongoing conflict and tension surrounding the care of the dog, potentially leading to strained relationships and emotional distress for everyone involved.","Your older sister may become upset or angry with you for refusing to help with the dog, leading to potential conflict and tension in the family.,dog,-9"
2,"My older sister (23) has a dog and forces almost every responsibility on my mother and younger sister(13). I refuse to do anything to help with the dog as me and my older sister got in a big argument before she got it as i knew she wasn’t ready to take care of a dog. But sometimes I do cave in and help out as I feel bad for the dog. The dog is untrained as after many years and daily will pee on the floors and poops inside the home, we live in a small apartment and its really awful. My older sister these past few months lives with her BF and only returns like a day or two each week. Thus leaving everything to my sister and mother. I think its really unfair for her to just abandon the dog, my mother is always complaining about it to get me or my little sister to clean after it, everyday I have to dodge stepping in piss. Also, smelling piss and seeing shit on the floor everyday is not fun. I really dislike having to see this dog being left like this, nobody really plays with it and barely takes it out for walks and it breaks my heart. She has been jobless for over a year now and I’m baffled as to why she cant train it or take care of it. I don’t think she is fit to have this dog and I think the dog would have a better life in another home, I just can't bare watching nobody care for it anymore and waking up and coming home to warm piss and shit.",refuse to take care of the dog unless my sister steps up and takes responsibility.,"older sister,dog,mother,younger sister,I,older sister's boyfriend","Your older sister may become upset or angry with you for refusing to help with the dog, leading to potential conflict and tension in the family..Your mother and younger sister may feel overwhelmed and burdened by the increased responsibility of caring for the untrained dog, leading to potential stress and strain on their relationship with your older sister and with you..The untrained dog may continue to suffer from neglect and lack of proper care, potentially leading to health and behavioral issues..Your older sister may feel pressured to either step up and take responsibility for the dog or consider rehoming it, potentially leading to a resolution of the situation..You may feel guilty or conflicted about not helping with the dog, especially if you continue to witness its neglect and suffering..The overall family dynamic may be affected by the ongoing conflict and tension surrounding the care of the dog, potentially leading to strained relationships and emotional distress for everyone involved.","Your older sister may become upset or angry with you for refusing to help with the dog, leading to potential conflict and tension in the family.,mother,-7"
3,"My older sister (23) has a dog and forces almost every responsibility on my mother and younger sister(13). I refuse to do anything to help with the dog as me and my older sister got in a big argument before she got it as i knew she wasn’t ready to take care of a dog. But sometimes I do cave in and help out as I feel bad for the dog. The dog is untrained as after many years and daily will pee on the floors and poops inside the home, we live in a small apartment and its really awful. My older sister these past few months lives with her BF and only returns like a day or two each week. Thus leaving everything to my sister and mother. I think its really unfair for her to just abandon the dog, my mother is always complaining about it to get me or my little sister to clean after it, everyday I have to dodge stepping in piss. Also, smelling piss and seeing shit on the floor everyday is not fun. I really dislike having to see this dog being left like this, nobody really plays with it and barely takes it out for walks and it breaks my heart. She has been jobless for over a year now and I’m baffled as to why she cant train it or take care of it. I don’t think she is fit to have this dog and I think the dog would have a better life in another home, I just can't bare watching nobody care for it anymore and waking up and coming home to warm piss and shit.",refuse to take care of the dog unless my sister steps up and takes responsibility.,"older sister,dog,mother,younger sister,I,older sister's boyfriend","Your older sister may become upset or angry with you for refusing to help with the dog, leading to potential conflict and tension in the family..Your mother and younger sister may feel overwhelmed and burdened by the increased responsibility of caring for the untrained dog, leading to potential stress and strain on their relationship with your older sister and with you..The untrained dog may continue to suffer from neglect and lack of proper care, potentially leading to health and behavioral issues..Your older sister may feel pressured to either step up and take responsibility for the dog or consider rehoming it, potentially leading to a resolution of the situation..You may feel guilty or conflicted about not helping with the dog, especially if you continue to witness its neglect and suffering..The overall family dynamic may be affected by the ongoing conflict and tension surrounding the care of the dog, potentially leading to strained relationships and emotional distress for everyone involved.","Your older sister may become upset or angry with you for refusing to help with the dog, leading to potential conflict and tension in the family.,younger sister,-5"
4,"My older sister (23) has a dog and forces almost every responsibility on my mother and younger sister(13). I refuse to do anything to help with the dog as me and my older sister got in a big argument before she got it as i knew she wasn’t ready to take care of a dog. But sometimes I do cave in and help out as I feel bad for the dog. The dog is untrained as after many years and daily will pee on the floors and poops inside the home, we live in a small apartment and its really awful. My older sister these past few months lives with her BF and only returns like a day or two each week. Thus leaving everything to my sister and mother. I think its really unfair for her to just abandon the dog, my mother is always complaining about it to get me or my little sister to clean after it, everyday I have to dodge stepping in piss. Also, smelling piss and seeing shit on the floor everyday is not fun. I really dislike having to see this dog being left like this, nobody really plays with it and barely takes it out for walks and it breaks my heart. She has been jobless for over a year now and I’m baffled as to why she cant train it or take care of it. I don’t think she is fit to have this dog and I think the dog would have a better life in another home, I just can't bare watching nobody care for it anymore and waking up and coming home to warm piss and shit.",refuse to take care of the dog unless my sister steps up and takes responsibility.,"older sister,dog,mother,younger sister,I,older sister's boyfriend","Your older sister may become upset or angry with you for refusing to help with the dog, leading to potential conflict and tension in the family..Your mother and younger sister may feel overwhelmed and burdened by the increased responsibility of caring for the untrained dog, leading to potential stress and strain on their relationship with your older sister and with you..The untrained dog may continue to suffer from neglect and lack of proper care, potentially leading to health and behavioral issues..Your older sister may feel pressured to either step up and take responsibility for the dog or consider rehoming it, potentially leading to a resolution of the situation..You may feel guilty or conflicted about not helping with the dog, especially if you continue to witness its neglect and suffering..The overall family dynamic may be affected by the ongoing conflict and tension surrounding the care of the dog, potentially leading to strained relationships and emotional distress for everyone involved.","Your older sister may become upset or angry with you for refusing to help with the dog, leading to potential conflict and tension in the family.,I,-3"
5,"My older sister (23) has a dog and forces almost every responsibility on my mother and younger sister(13). I refuse to do anything to help with the dog as me and my older sister got in a big argument before she got it as i knew she wasn’t ready to take care of a dog. But sometimes I do cave in and help out as I feel bad for the dog. The dog is untrained as after many years and daily will pee on the floors and poops inside the home, we live in a small apartment and its really awful. My older sister these past few months lives with her BF and only returns like a day or two each week. Thus leaving everything to my sister and mother. I think its really unfair for her to just abandon the dog, my mother is always complaining about it to get me or my little sister to clean after it, everyday I have to dodge stepping in piss. Also, smelling piss and seeing shit on the floor everyday is not fun. I really dislike having to see this dog being left like this, nobody really plays with it and barely takes it out for walks and it breaks my heart. She has been jobless for over a year now and I’m baffled as to why she cant train it or take care of it. I don’t think she is fit to have this dog and I think the dog would have a better life in another home, I just can't bare watching nobody care for it anymore and waking up and coming home to warm piss and shit.",refuse to take care of the dog unless my sister steps up and takes responsibility.,"older sister,dog,mother,younger sister,I,older sister's boyfriend","Your older sister may become upset or angry with you for refusing to help with the dog, leading to potential conflict and tension in the family..Your mother and younger sister may feel overwhelmed and burdened by the increased responsibility of caring for the untrained dog, leading to potential stress and strain on their relationship with your older sister and with you..The untrained dog may continue to suffer from neglect and lack of proper care, potentially leading to health and behavioral issues..Your older sister may feel pressured to either step up and take responsibility for the dog or consider rehoming it, potentially leading to a resolution of the situation..You may feel guilty or conflicted about not helping with the dog, especially if you continue to witness its neglect and suffering..The overall family dynamic may be affected by the ongoing conflict and tension surrounding the care of the dog, potentially leading to strained relationships and emotional distress for everyone involved.","Your older sister may become upset or angry with you for refusing to help with the dog, leading to potential conflict and tension in the family.,older sister's boyfriend,-2"
6,"My older sister (23) has a dog and forces almost every responsibility on my mother and younger sister(13). I refuse to do anything to help with the dog as me and my older sister got in a big argument before she got it as i knew she wasn’t ready to take care of a dog. But sometimes I do cave in and help out as I feel bad for the dog. The dog is untrained as after many years and daily will pee on the floors and poops inside the home, we live in a small apartment and its really awful. My older sister these past few months lives with her BF and only returns like a day or two each week. Thus leaving everything to my sister and mother. I think its really unfair for her to just abandon the dog, my mother is always complaining about it to get me or my little sister to clean after it, everyday I have to dodge stepping in piss. Also, smelling piss and seeing shit on the floor everyday is not fun. I really dislike having to see this dog being left like this, nobody really plays with it and barely takes it out for walks and it breaks my heart. She has been jobless for over a year now and I’m baffled as to why she cant train it or take care of it. I don’t think she is fit to have this dog and I think the dog would have a better life in another home, I just can't bare watching nobody care for it anymore and waking up and coming home to warm piss and shit.",refuse to take care of the dog unless my sister steps up and takes responsibility.,"older sister,dog,mother,younger sister,I,older sister's boyfriend","Your older sister may become upset or angry with you for refusing to help with the dog, leading to potential conflict and tension in the family..Your mother and younger sister may feel overwhelmed and burdened by the increased responsibility of caring for the untrained dog, leading to potential stress and strain on their relationship with your older sister and with you..The untrained dog may continue to suffer from neglect and lack of proper care, potentially leading to health and behavioral issues..Your older sister may feel pressured to either step up and take responsibility for the dog or consider rehoming it, potentially leading to a resolution of the situation..You may feel guilty or conflicted about not helping with the dog, especially if you continue to witness its neglect and suffering..The overall family dynamic may be affected by the ongoing conflict and tension surrounding the care of the dog, potentially leading to strained relationships and emotional distress for everyone involved.","Your mother and younger sister may feel overwhelmed and burdened by the increased responsibility of caring for the untrained dog, leading to potential stress and strain on their relationship with your older sister and with you.,older sister,-8"
7,"My older sister (23) has a dog and forces almost every responsibility on my mother and younger sister(13). I refuse to do anything to help with the dog as me and my older sister got in a big argument before she got it as i knew she wasn’t ready to take care of a dog. But sometimes I do cave in and help out as I feel bad for the dog. The dog is untrained as after many years and daily will pee on the floors and poops inside the home, we live in a small apartment and its really awful. My older sister these past few months lives with her BF and only returns like a day or two each week. Thus leaving everything to my sister and mother. I think its really unfair for her to just abandon the dog, my mother is always complaining about it to get me or my little sister to clean after it, everyday I have to dodge stepping in piss. Also, smelling piss and seeing shit on the floor everyday is not fun. I really dislike having to see this dog being left like this, nobody really plays with it and barely takes it out for walks and it breaks my heart. She has been jobless for over a year now and I’m baffled as to why she cant train it or take care of it. I don’t think she is fit to have this dog and I think the dog would have a better life in another home, I just can't bare watching nobody care for it anymore and waking up and coming home to warm piss and shit.",refuse to take care of the dog unless my sister steps up and takes responsibility.,"older sister,dog,mother,younger sister,I,older sister's boyfriend","Your older sister may become upset or angry with you for refusing to help with the dog, leading to potential conflict and tension in the family..Your mother and younger sister may feel overwhelmed and burdened by the increased responsibility of caring for the untrained dog, leading to potential stress and strain on their relationship with your older sister and with you..The untrained dog may continue to suffer from neglect and lack of proper care, potentially leading to health and behavioral issues..Your older sister may feel pressured to either step up and take responsibility for the dog or consider rehoming it, potentially leading to a resolution of the situation..You may feel guilty or conflicted about not helping with the dog, especially if you continue to witness its neglect and suffering..The overall family dynamic may be affected by the ongoing conflict and tension surrounding the care of the dog, potentially leading to strained relationships and emotional distress for everyone involved.","Your mother and younger sister may feel overwhelmed and burdened by the increased responsibility of caring for the untrained dog, leading to potential stress and strain on their relationship with your older sister and with you.,dog,-9"
8,"My older sister (23) has a dog and forces almost every responsibility on my mother and younger sister(13). I refuse to do anything to help with the dog as me and my older sister got in a big argument before she got it as i knew she wasn’t ready to take care of a dog. But sometimes I do cave in and help out as I feel bad for the dog. The dog is untrained as after many years and daily will pee on the floors and poops inside the home, we live in a small apartment and its really awful. My older sister these past few months lives with her BF and only returns like a day or two each week. Thus leaving everything to my sister and mother. I think its really unfair for her to just abandon the dog, my mother is always complaining about it to get me or my little sister to clean after it, everyday I have to dodge stepping in piss. Also, smelling piss and seeing shit on the floor everyday is not fun. I really dislike having to see this dog being left like this, nobody really plays with it and barely takes it out for walks and it breaks my heart. She has been jobless for over a year now and I’m baffled as to why she cant train it or take care of it. I don’t think she is fit to have this dog and I think the dog would have a better life in another home, I just can't bare watching nobody care for it anymore and waking up and coming home to warm piss and shit.",refuse to take care of the dog unless my sister steps up and takes responsibility.,"older sister,dog,mother,younger sister,I,older sister's boyfriend","Your older sister may become upset or angry with you for refusing to help with the dog, leading to potential conflict and tension in the family..Your mother and younger sister may feel overwhelmed and burdened by the increased responsibility of caring for the untrained dog, leading to potential stress and strain on their relationship with your older sister and with you..The untrained dog may continue to suffer from neglect and lack of proper care, potentially leading to health and behavioral issues..Your older sister may feel pressured to either step up and take responsibility for the dog or consider rehoming it, potentially leading to a resolution of the situation..You may feel guilty or conflicted about not helping with the dog, especially if you continue to witness its neglect and suffering..The overall family dynamic may be affected by the ongoing conflict and tension surrounding the care of the dog, potentially leading to strained relationships and emotional distress for everyone involved.","Your mother and younger sister may feel overwhelmed and burdened by the increased responsibility of caring for the untrained dog, leading to potential stress and strain on their relationship with your older sister and with you.,mother,-7"
9,"My older sister (23) has a dog and forces almost every responsibility on my mother and younger sister(13). I refuse to do anything to help with the dog as me and my older sister got in a big argument before she got it as i knew she wasn’t ready to take care of a dog. But sometimes I do cave in and help out as I feel bad for the dog. The dog is untrained as after many years and daily will pee on the floors and poops inside the home, we live in a small apartment and its really awful. My older sister these past few months lives with her BF and only returns like a day or two each week. Thus leaving everything to my sister and mother. I think its really unfair for her to just abandon the dog, my mother is always complaining about it to get me or my little sister to clean after it, everyday I have to dodge stepping in piss. Also, smelling piss and seeing shit on the floor everyday is not fun. I really dislike having to see this dog being left like this, nobody really plays with it and barely takes it out for walks and it breaks my heart. She has been jobless for over a year now and I’m baffled as to why she cant train it or take care of it. I don’t think she is fit to have this dog and I think the dog would have a better life in another home, I just can't bare watching nobody care for it anymore and waking up and coming home to warm piss and shit.",refuse to take care of the dog unless my sister steps up and takes responsibility.,"older sister,dog,mother,younger sister,I,older sister's boyfriend","Your older sister may become upset or angry with you for refusing to help with the dog, leading to potential conflict and tension in the family..Your mother and younger sister may feel overwhelmed and burdened by the increased responsibility of caring for the untrained dog, leading to potential stress and strain on their relationship with your older sister and with you..The untrained dog may continue to suffer from neglect and lack of proper care, potentially leading to health and behavioral issues..Your older sister may feel pressured to either step up and take responsibility for the dog or consider rehoming it, potentially leading to a resolution of the situation..You may feel guilty or conflicted about not helping with the dog, especially if you continue to witness its neglect and suffering..The overall family dynamic may be affected by the ongoing conflict and tension surrounding the care of the dog, potentially leading to strained relationships and emotional distress for everyone involved.","Your mother and younger sister may feel overwhelmed and burdened by the increased responsibility of caring for the untrained dog, leading to potential stress and strain on their relationship with your older sister and with you.,younger sister,-6"
10,"My older sister (23) has a dog and forces almost every responsibility on my mother and younger sister(13). I refuse to do anything to help with the dog as me and my older sister got in a big argument before she got it as i knew she wasn’t ready to take care of a dog. But sometimes I do cave in and help out as I feel bad for the dog. The dog is untrained as after many years and daily will pee on the floors and poops inside the home, we live in a small apartment and its really awful. My older sister these past few months lives with her BF and only returns like a day or two each week. Thus leaving everything to my sister and mother. I think its really unfair for her to just abandon the dog, my mother is always complaining about it to get me or my little sister to clean after it, everyday I have to dodge stepping in piss. Also, smelling piss and seeing shit on the floor everyday is not fun. I really dislike having to see this dog being left like this, nobody really plays with it and barely takes it out for walks and it breaks my heart. She has been jobless for over a year now and I’m baffled as to why she cant train it or take care of it. I don’t think she is fit to have this dog and I think the dog would have a better life in another home, I just can't bare watching nobody care for it anymore and waking up and coming home to warm piss and shit.",refuse to take care of the dog unless my sister steps up and takes responsibility.,"older sister,dog,mother,younger sister,I,older sister's boyfriend","Your older sister may become upset or angry with you for refusing to help with the dog, leading to potential conflict and tension in the family..Your mother and younger sister may feel overwhelmed and burdened by the increased responsibility of caring for the untrained dog, leading to potential stress and strain on their relationship with your older sister and with you..The untrained dog may continue to suffer from neglect and lack of proper care, potentially leading to health and behavioral issues..Your older sister may feel pressured to either step up and take responsibility for the dog or consider rehoming it, potentially leading to a resolution of the situation..You may feel guilty or conflicted about not helping with the dog, especially if you continue to witness its neglect and suffering..The overall family dynamic may be affected by the ongoing conflict and tension surrounding the care of the dog, potentially leading to strained relationships and emotional distress for everyone involved.","Your mother and younger sister may feel overwhelmed and burdened by the increased responsibility of caring for the untrained dog, leading to potential stress and strain on their relationship with your older sister and with you.,I,0"
